source,n,max_gen_tps,avg_gen_tps
routerclamp-supernova,14,16.53,12.56
routerclamp-safe-edge,11,16.45,10.27
routerclamp-focus,12,16.37,14.20
routercensus-rescue-drive,19,15.63,12.47
thermal-gated-nearmiss-pass,8,14.03,13.89
cheap24-raw-ub128-ridge,13,14.00,11.70
record-recovery-push,6,14.00,13.55
record-climb-protocol,16,13.99,13.02
thermal-gated-micro-ridge,6,13.99,13.64
cheap24-raw-record-ridge,14,13.98,13.54
coherent-record-lottery,17,13.98,13.25
hot-repeat-record-shot,6,13.98,13.84
micro-ridge-warmcache,6,13.98,12.92
near-miss-runtime-overlay,9,13.97,13.67
record-edge-knob-drive,22,13.97,11.45
thermal-gated-record-attack,9,13.97,13.45
quality-safe-ridge-next,6,13.95,12.14
low-shelf-record-probe,8,13.94,13.70
taskpolicy-scout,6,13.93,13.62
moonshot-drive,20,13.90,13.07
qpu-upgraded-qubo-probe,7,13.90,9.40
moonshot-micro-ridge-drive,12,13.81,13.55
moonshot-refine-drive,14,13.78,13.48
cheap24-threshold-scout,8,13.76,11.74
phase-boundary-mapper,13,13.64,10.55
routerclamp-warm-replay,18,13.63,10.59
routerclamp-cheap24-ridge,16,13.58,13.01
healthy-record-ridge,8,13.57,13.22
routerclamp-tier2-probe,24,13.57,11.12
qpu2-stack-drive,15,13.43,10.87
